question_id,ml_precision,ml_recall,ml_f1,num_ml_distractors
high16116.txt,0.3055555555555555,0.2222222222222222,0.2526455026455026,3
high19349.txt,0.0,0.0,0.0,3
high19349.txt,0.16666666666666666,0.1111111111111111,0.12962962962962962,3
high19349.txt,0.041666666666666664,0.08333333333333333,0.05555555555555555,3
high19349.txt,0.0,0.0,0.0,3
high1111.txt,0.06060606060606061,0.08333333333333333,0.07017543859649124,3
high1111.txt,0.19444444444444445,0.09722222222222221,0.1037037037037037,3
high1111.txt,0.15873015873015872,0.2222222222222222,0.17777777777777778,3
high1111.txt,0.1111111111111111,0.1111111111111111,0.1111111111111111,3
high11629.txt,0.3444444444444444,0.2222222222222222,0.25925925925925924,3
high11629.txt,0.27777777777777773,0.21666666666666667,0.23917748917748918,3
high11629.txt,0.1111111111111111,0.06666666666666667,0.08333333333333333,3
high19572.txt,0.24444444444444446,0.1851851851851852,0.19590643274853803,3
high19572.txt,0.2111111111111111,0.14814814814814814,0.1608187134502924,3
high19572.txt,0.23611111111111108,0.14814814814814814,0.173202614379085,3
high19572.txt,0.19444444444444442,0.1111111111111111,0.13398692810457516,3
high17311.txt,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
high17311.txt,0.0,0.0,0.0,3
high17311.txt,0.0,0.0,0.0,3
high4821.txt,0.3055555555555555,0.27777777777777773,0.28571428571428575,3
high4821.txt,0.17777777777777778,0.13333333333333333,0.15000000000000002,3
high4821.txt,0.09523809523809523,0.13333333333333333,0.1111111111111111,3
high4821.txt,0.03333333333333333,0.06666666666666667,0.044444444444444446,3
high23801.txt,0.2222222222222222,0.21666666666666667,0.21645021645021645,3
high23801.txt,0.16666666666666666,0.09722222222222221,0.11616161616161617,3
high23801.txt,0.3055555555555555,0.3333333333333333,0.31746031746031744,3
high23801.txt,0.2698412698412698,0.25,0.2510822510822511,3
high12290.txt,0.41111111111111115,0.2222222222222222,0.2786195286195286,3
high12290.txt,0.08333333333333333,0.1111111111111111,0.09523809523809525,3
high12290.txt,0.041666666666666664,0.037037037037037035,0.0392156862745098,3
high23609.txt,0.15873015873015872,0.1111111111111111,0.12535612535612536,3
high23609.txt,0.19444444444444442,0.14814814814814814,0.1507936507936508,3
high23609.txt,0.746031746031746,0.5833333333333334,0.6389906389906389,3
high23609.txt,0.35042735042735046,0.21212121212121213,0.2341269841269841,3
high19855.txt,0.07407407407407407,0.1111111111111111,0.08888888888888889,3
high19855.txt,0.6349206349206349,0.3333333333333333,0.42020202020202024,3
high19855.txt,0.6666666666666666,0.38095238095238093,0.4583333333333333,3
high19855.txt,0.3055555555555555,0.3333333333333333,0.31746031746031744,3
high10255.txt,0.3333333333333333,0.2333333333333333,0.26851851851851855,3
high10255.txt,0.3055555555555555,0.3333333333333333,0.31746031746031744,3
high10255.txt,0.3333333333333333,0.26666666666666666,0.28787878787878785,3
high4657.txt,0.07407407407407407,0.09523809523809523,0.08333333333333333,3
high4657.txt,0.0,0.0,0.0,3
high1266.txt,0.0,0.0,0.0,3
high1266.txt,0.0,0.0,0.0,3
high1266.txt,0.06666666666666667,0.06060606060606061,0.0634920634920635,3
high1266.txt,0.05555555555555555,0.08333333333333333,0.06666666666666667,3
high1266.txt,0.15873015873015872,0.125,0.12121212121212122,3
high24267.txt,0.0,0.0,0.0,3
high24267.txt,0.05555555555555555,0.06666666666666667,0.0606060606060606,3
high24267.txt,0.24444444444444446,0.25,0.2433862433862434,3
high6903.txt,0.2638888888888889,0.20000000000000004,0.21794871794871795,3
high6903.txt,0.15277777777777776,0.10317460317460318,0.11428571428571428,3
high6903.txt,0.16666666666666666,0.16666666666666666,0.16666666666666666,3
high19244.txt,0.27777777777777773,0.25,0.2571428571428572,3
high19244.txt,0.20634920634920637,0.125,0.1494949494949495,3
high19244.txt,0.041666666666666664,0.06666666666666667,0.05128205128205129,3
high6763.txt,0.4761904761904761,0.5,0.4675324675324675,3
high6763.txt,0.2222222222222222,0.16666666666666666,0.1851851851851852,3
high6763.txt,0.1851851851851852,0.14285714285714285,0.15,3
high6763.txt,0.08333333333333333,0.08333333333333333,0.08333333333333333,3
high8508.txt,0.2222222222222222,0.2222222222222222,0.2074074074074074,3
