question_id,ml_precision,ml_recall,ml_f1,w2v_precision,w2v_recall,w2v_f1,num_ml_distractors,num_w2v_distractors
high1266.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high1266.txt,0.16666666666666666,0.037037037037037035,0.0606060606060606,0.0,0.0,0.0,3,0
high24267.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high24267.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high24267.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high6903.txt,0.1111111111111111,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,3,0
high6903.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high6903.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high19244.txt,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.0,0.0,0.0,3,0
high19244.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high19244.txt,0.3333333333333333,0.06666666666666667,0.11111111111111112,0.0,0.0,0.0,3,0
high6763.txt,0.5,0.15,0.22222222222222224,0.0,0.0,0.0,3,0
high6763.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high6763.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high6763.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high8508.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high8508.txt,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,3,0
high8508.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high8508.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high8508.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21540.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21540.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21540.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21540.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high18361.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high18361.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high18361.txt,0.3333333333333333,0.07407407407407407,0.1212121212121212,0.0,0.0,0.0,3,0
high18361.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12282.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12282.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20651.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20651.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20651.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20651.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23335.txt,0.16666666666666666,0.06666666666666667,0.09523809523809525,0.0,0.0,0.0,3,0
high23335.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23335.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23335.txt,0.1111111111111111,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,3,0
high21509.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21509.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21509.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21509.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9481.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9481.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9481.txt,0.1111111111111111,0.08333333333333333,0.09523809523809525,0.0,0.0,0.0,3,0
high22475.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high22475.txt,0.1111111111111111,0.030303030303030304,0.04761904761904762,0.0,0.0,0.0,3,0
high22475.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high63.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high63.txt,0.3333333333333333,0.10000000000000002,0.15384615384615383,0.0,0.0,0.0,3,0
high63.txt,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.0,0.0,0.0,3,0
high63.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high5302.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high5302.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high5302.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21455.txt,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.0,0.0,0.0,3,0
high21455.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21455.txt,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.0,0.0,0.0,3,0
high3790.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high3790.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high3790.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high3790.txt,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,3,0
high169.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high169.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high169.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high169.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high1443.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high1443.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high1443.txt,0.1111111111111111,0.047619047619047616,0.06666666666666667,0.0,0.0,0.0,3,0
high1443.txt,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,3,0
high1443.txt,0.1111111111111111,0.030303030303030304,0.04761904761904762,0.0,0.0,0.0,3,0
high10316.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10316.txt,0.38888888888888884,0.3333333333333333,0.35555555555555557,0.0,0.0,0.0,3,0
high10316.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10316.txt,0.2222222222222222,0.13333333333333333,0.16666666666666666,0.0,0.0,0.0,3,0
high20888.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20888.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high20888.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high2273.txt,0.4444444444444444,0.16666666666666666,0.22857142857142856,0.0,0.0,0.0,3,0
high2273.txt,0.16666666666666666,0.03333333333333333,0.05555555555555556,0.0,0.0,0.0,3,0
high2273.txt,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.0,0.0,0.0,3,0
high23728.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23728.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23728.txt,0.1111111111111111,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,3,0
high7811.txt,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.0,0.0,0.0,3,0
high7811.txt,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.0,0.0,0.0,3,0
high7811.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high7811.txt,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,3,0
high22379.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high22379.txt,0.16666666666666666,0.06666666666666667,0.09523809523809525,0.0,0.0,0.0,3,0
high22379.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high22379.txt,0.1111111111111111,0.025641025641025644,0.041666666666666664,0.0,0.0,0.0,3,0
high22379.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high4674.txt,0.1111111111111111,0.047619047619047616,0.06666666666666667,0.0,0.0,0.0,3,0
high4674.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14746.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14746.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14746.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14807.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14807.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12309.txt,0.1111111111111111,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,3,0
high12309.txt,0.1111111111111111,0.030303030303030304,0.04761904761904762,0.0,0.0,0.0,3,0
high12309.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high15327.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high15327.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high15327.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9027.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9027.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9027.txt,0.1111111111111111,0.037037037037037035,0.05555555555555555,0.0,0.0,0.0,3,0
high9027.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high9027.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
